song,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,song_label,clusters_kmeans
Son Of A Sinner,Jelly Roll,0.365,0.541,-7.489,0.0304,0.0419,2.25e-06,0.281,0.329,86.041,25VQoiuyc0HkC5FQTj1a8G,232093,H,8
Never Get Over Me,Rod Wave,0.689,0.626,-10.224,0.065,0.21,0.0,0.109,0.453,157.954,5sRUXYW5XqkHpGUjNIaU1W,170127,H,7
Super Gremlin,Kodak Black,0.825,0.414,-6.634,0.144,0.00265,0.0,0.357,0.106,72.993,4A8cWXxKfIL3lAyUDzXbCF,200548,H,8
Sweet Little Lies,Rod Wave,0.656,0.679,-8.594,0.0598,0.014,0.0,0.101,0.27,159.978,0qjoeS8gwEFqf0ju66ledI,174750,H,0
Take My Name,Parmalee,0.559,0.66,-4.143,0.0512,0.222,0.0,0.193,0.574,163.957,2afB4eV1KWBqLqFqME6PTh,157907,H,0
Hot Shit,"Cardi B, Ye & Lil Durk",0.878,0.685,-5.28,0.225,0.00152,0.0,0.0753,0.523,157.003,3uJFmluXzYedoJcvhpC1AW,211649,H,4
Damn Strait,Scotty McCreery,0.523,0.64,-6.15,0.0295,0.0512,5.52e-05,0.0675,0.48,144.022,4jp9FimhP2bQ93vR0A5r7b,230227,H,0
Bad Decisions,"benny blanco, BTS & Snoop Dogg",0.762,0.861,-3.296,0.0955,0.0185,0.0,0.264,0.955,120.048,0xzI1KAr0Yd9tv8jlIk3sn,172714,H,7
Forever,Rod Wave,0.626,0.524,-8.987,0.0411,0.566,1.14e-05,0.103,0.451,129.996,4mChXwwU4xbiYIP7QQeLFP,214186,H,1
Bones,Imagine Dragons,0.773,0.742,-3.678,0.046,0.0206,0.0,0.0754,0.571,114.071,0HqZX76SFLDz2aW8aiqi7G,165265,H,7
So Good,Halsey,0.576,0.627,-4.649,0.0449,0.0385,0.0,0.181,0.311,164.998,6kxaaIeowajN7w21PfMLbu,176059,H,0
Her,Megan Thee Stallion,0.945,0.848,-4.76,0.326,0.374,3.31e-05,0.101,0.819,119.918,5hHvFrMnwic82WwRLr4WY0,137107,H,4
Victoria’s Secret,Jax,0.586,0.556,-7.639,0.0592,0.00655,0.0,0.0836,0.517,167.018,4svaKoxMMP7ImmKrD5hfQu,176125,H,0
Despues de La Playa,Bad Bunny,0.564,0.903,-3.221,0.307,0.356,0.0,0.175,0.607,78.293,1dm6z1fWB0cErMszU25dy2,230400,H,4
Stone Rolling,Rod Wave,0.622,0.533,-11.149,0.0452,0.0579,0.0,0.152,0.363,170.04,6V74LEfuOKN9iz7YinOWpB,180706,H,0
Alien Superstar,Beyonce,0.545,0.641,-6.398,0.0998,0.00453,6.59e-05,0.171,0.464,121.892,1Hohk6AufHZOrrhMXZppax,215460,H,8
Unstoppable,Sia,0.468,0.779,-4.839,0.0779,0.112,0.000373,0.101,0.26,173.799,1yvMUkIOTeUNtNWlWRgANS,217747,H,0
Free Mind,Tems,0.562,0.463,-7.478,0.0787,0.442,0.000145,0.157,0.416,125.15,2mzM4Y0Rnx2BDZqRnhQ5Q6,247579,H,1
Wishful Drinking,Ingrid Andress With Sam Hunt,0.678,0.528,-7.317,0.0551,0.289,0.0,0.0734,0.614,79.018,3HGnIIdHYIbkowzLk8UHbE,194545,H,7
No Deal,Rod Wave,0.752,0.523,-8.033,0.355,0.0478,0.0,0.0622,0.192,81.48,2GJxkCRFJ6maLi2VmYRX9R,187730,H,4
Dah Dah DahDah,Nardo Wick,0.66,0.373,-10.234,0.595,0.149,0.0,0.106,0.35,167.912,2TSfStvlAMLw89u3tali79,151776,H,4
Whiskey On You,Nate Smith,0.479,0.768,-5.204,0.0312,7.02e-05,0.00549,0.121,0.576,110.024,6Tm4Io4ct4w14nB1EUzsY3,183790,H,8
I Know It,Rod Wave,0.626,0.772,-6.797,0.057,0.339,0.0,0.135,0.31,162.975,2Ty1Z8Q0bRF7niZuO8D5rW,157546,H,0
Last Last,Burna Boy,0.795,0.565,-4.457,0.0948,0.131,0.0,0.0802,0.55,87.925,5YbPxJwPfrj7uswNwoF1pJ,172342,H,7
With A Woman You Love,Justin Moore,0.611,0.756,-4.483,0.0288,0.0587,0.0,0.378,0.596,106.012,20WKHeDTmtU0Zj4sNB8aoA,167376,H,7
Truth About You,Mitchell Tenpenny,0.492,0.708,-4.639,0.0334,0.0975,0.0,0.12,0.697,161.989,4Qum1kECNQrpREev5fvAQ4,203037,H,0
Cuff It,Beyonce,0.78,0.689,-5.668,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,1xzi1Jcr7mEi9K2RfzLOqS,225389,H,7
Pick Me Up,Gabby Barrett,0.472,0.701,-4.563,0.0369,0.0387,0.0,0.107,0.515,79.805,7xNYZeFtrB05pi9tc6lEeb,169440,H,8
Despecha,Rosalia,0.919,0.623,-6.521,0.0992,0.184,1.63e-05,0.0609,0.775,130.037,5ildQOEKmJuWGl2vRkFdYc,157018,H,7
Pieces,Rod Wave,0.565,0.558,-7.634,0.0453,0.379,0.0,0.0896,0.0778,82.998,6T7tWJsjBpLb95rNqSLcih,208193,H,8
Ghost Story,Carrie Underwood,0.479,0.742,-5.587,0.0539,0.0069,0.000834,0.278,0.454,142.909,2FGOg7uYBfnspkPOISXTFY,181400,H,0
Rockstar Heart,Rod Wave,0.516,0.533,-8.106,0.067,0.684,0.0,0.188,0.175,76.325,4UiPTfFuP4SLo59Q9KC8Yp,137967,H,1
Puffin On Zootiez,Future,0.883,0.657,-5.748,0.305,0.0603,0.0,0.128,0.284,124.992,1qMMYpVatbRITKCfq1gasi,172933,H,4
Until I Found You,Stephen Sanchez,0.539,0.508,-6.05,0.0288,0.727,0.0,0.174,0.227,101.358,0T5iIrXA4p5GsubkhuBIKV,177720,H,1
Plan B,Megan Thee Stallion,0.787,0.522,-5.872,0.463,0.0668,0.0,0.108,0.666,170.439,2PljnVsnl2PRwCvfhbdQup,163765,H,4
Thought You Should Know,Morgan Wallen,0.529,0.695,-6.174,0.0278,0.488,1.24e-05,0.142,0.514,139.993,6NHpyYvJyQsg2nXXzGYc2R,215572,H,0
Time Kills (Love Birds),Rod Wave,0.601,0.612,-7.65,0.0727,0.0508,0.0,0.164,0.517,154.977,1LaBp63783MPDYnE3ohMAN,173418,H,0
Fading,Rod Wave,0.674,0.656,-7.506,0.0625,0.324,0.0,0.107,0.38,159.933,0Ixokfhum2t1dXWg54hjPn,163500,H,0
Church Girl,Beyonce,0.792,0.919,-5.688,0.276,0.0381,5.1e-06,0.368,0.22,92.028,2mqTtvbKxH7SoEQ2oGAnsA,224473,H,4
Un Ratito,Bad Bunny,0.787,0.546,-7.094,0.0532,0.305,4.55e-05,0.122,0.222,93.05,5CzixCxDkRXX9mScCmah8O,176936,H,8
What My World Spins Around,Jordan Davis,0.675,0.726,-6.459,0.0461,0.105,0.0,0.153,0.671,124.872,6HBRLaSQ7NB8MNlaqzYen1,186791,H,7
Love,Simian Mobile Disco,0.663,0.918,-4.732,0.0619,0.000177,0.00431,0.278,0.503,134.254,0pwtfMiQ355EOetR7PNP60,179720,R,8
Rollercoaster Ride,The Whitest Boy Alive,0.753,0.304,-9.859,0.0516,0.592,0.078,0.108,0.377,75.52,7hejG1JwFh3NsfUze7KaJ9,159880,R,1
Gitana,Willie Colon,0.479,0.593,-6.629,0.0502,0.635,2.61e-06,0.216,0.805,86.092,4VTb5wB46sZDsfL8XgroGt,414267,R,7
Glitter In The Air,P!nk,0.514,0.255,-12.037,0.0283,0.898,0.000235,0.0994,0.298,99.851,1M6dQ8MZQnYxjH8yZzswQt,227813,R,1
Flagpole Sitta,Harvey Danger,0.361,0.901,-4.133,0.0443,0.00152,0.000263,0.286,0.482,144.97,7cz70nyRXlCJOE85whEkgU,217267,R,0
Do You Remember,Jack Johnson,0.598,0.289,-11.405,0.0334,0.762,8.17e-05,0.262,0.714,92.035,1EZJBB6bvCcrvYRlOyoHuf,144013,R,1
Fools,The Temper Trap,0.562,0.492,-8.888,0.0303,0.12,0.785,0.0895,0.0749,128.018,7zOBJFmezyMr5YQklSHrVZ,272813,R,3
Maybe,N.E.R.D.,0.535,0.769,-4.672,0.0373,0.0627,2.29e-06,0.135,0.618,154.124,3nrGG3qYHIhjnHOx1lnMNx,263133,R,0
Tiger Mountain Peasant Song,Fleet Foxes,0.645,0.132,-12.635,0.0327,0.927,0.00143,0.0845,0.257,131.011,74TdnqQ0JlIcHBwdSAATiw,208973,R,1
Ready Or Not,The Fugees,0.568,0.659,-12.04,0.0336,0.299,0.815,0.164,0.507,90.001,34AHuj5l34drtMXLoXFCwW,226666,R,3
Gravity\'s Rainbow,Klaxons,0.661,0.751,-3.422,0.0363,0.0018,0.837,0.0923,0.0447,130.037,4TStyjKnybRujBR9FIO7zC,323227,R,3
Todos Quieren A Raymond,Daddy Yankee,0.893,0.593,-4.84,0.186,0.152,0.0,0.303,0.865,96.02,32WICQfKcjqDDi5IYkMdnc,281640,R,4
Reign of Terror,Beneath the Massacre,0.324,0.918,-4.541,0.21,0.00218,0.878,0.356,0.0397,118.983,1I9z0K8E4OSXXrPu2h7TXh,213933,R,3
