song,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,song_label,clusters_kmeans
The Climb,Miley Cyrus,0.327,0.588,-6.611,0.0336,0.0834,0.0,0.104,0.329,161.074,0V8FYVlBFuXXTIvRnMbZyS,236067,R,0
Crown Royal,Jill Scott,0.663,0.487,-10.106,0.359,0.0999,0.0,0.418,0.501,142.211,2mX2iJ6rw3ja90OPzHrmHT,108507,R,4
Dead Flowers,The Rolling Stones,0.54,0.862,-4.599,0.0284,0.33,1.7e-05,0.156,0.931,130.34,3oJtUnnt5uYPtzulIbLw3D,244533,R,7
Tears For Affairs,Camera Obscura,0.547,0.804,-5.367,0.0301,0.013,0.00012,0.171,0.67,113.845,06lj66SZ2cUmIjf0fr4tR4,244093,R,8
Alienated,Keri Hilson,0.59,0.797,-6.256,0.0798,0.0605,8.35e-05,0.117,0.565,110.027,16oKJ0peKfrMvo6eMLX9oM,274293,R,8
Anthem For The Year 2000,Silverchair,0.325,0.768,-7.51,0.0491,0.0426,4.04e-06,0.27,0.454,176.6,3LMpZcOhaz2CUX5rfoCNRs,247787,R,0
Rhythm Of The Night,DeBarge,0.707,0.759,-12.328,0.046,0.0769,2.84e-05,0.0775,0.955,115.142,5yGTQzYbEdY6B9RFZJypgt,229107,R,7
Xehasmeni Melodia,Onar,0.673,0.469,-11.069,0.0403,0.434,6.08e-05,0.254,0.461,128.084,6YNyeMS5btk7Gx0G5yvkNF,306547,R,1
Wipe Out,The Surfaris,0.336,0.636,-13.785,0.0374,0.385,0.909,0.414,0.521,152.423,4anUinKv803lyDD1vaSXhU,157760,R,3
Gravity,John Mayer,0.753,0.326,-9.883,0.0342,0.731,0.00131,0.24,0.237,123.799,3SktMqZmo3M9zbB7oKMIF7,245827,R,1
Alive,Daft Punk,0.723,0.716,-6.407,0.0437,5.42e-05,0.905,0.072,0.0748,128.701,1PH5Es89c1cENU8WVuWwbp,316253,R,3
Quante Volte Ti Ho Cercato,Andrea Bocelli,0.437,0.516,-8.583,0.0297,0.724,0.000315,0.124,0.226,75.001,3TxtsRv5cGrI6diu2R6fq5,308626,R,1
Turn Around,Iration,0.687,0.7,-6.439,0.03,0.00144,6.35e-05,0.13,0.963,103.946,1q9mR0tJtXdkngfiJTg8al,231347,R,7
Shrinking Universe,Muse,0.221,0.809,-5.281,0.0538,0.00739,3.42e-05,0.304,0.236,122.482,4nDEirAHqPKVfakSlvJOCn,187066,R,8
The Only One,The Black Keys,0.434,0.653,-6.969,0.0324,0.693,0.0421,0.177,0.625,105.09,3QHA3SBpz2SDEpI1HuMT0e,300347,R,1
Jam 4 U,Redman,0.692,0.54,-7.524,0.264,0.00753,0.0107,0.356,0.661,94.546,7Ej2AofJ6ZdW6UHBFiQFfM,185867,R,4
Pitter-Pat,Erin McCarley,0.505,0.45,-8.211,0.0256,0.335,0.0,0.263,0.196,137.97,4M42eBvwzyntEiqcq1nfp5,259800,R,1
Star Bodies,The New Pornographers,0.487,0.931,-5.074,0.0366,0.00148,0.109,0.15,0.754,152.326,18pNWsGGX0wUmvYtc8Qo0p,247453,R,0
Lovestain,José González,0.594,0.186,-15.804,0.0415,0.888,0.892,0.111,0.393,146.413,3uOxi3XD2dfSlUy3q1r73V,137213,R,5
Cry,Godley & Creme,0.555,0.457,-11.294,0.0271,0.494,0.126,0.116,0.345,99.06,3XfCNac1soQxgfNen0D0dN,236533,R,1
Jumping Jack Flash,The Rolling Stones,0.417,0.975,-2.984,0.0752,0.188,0.00065,0.923,0.598,147.402,6z1Vn1Z3kPENP2Rz1yN5IF,221720,R,2
Puppetmad,Puppetmastaz,0.571,0.842,-4.892,0.202,0.383,0.0,0.967,0.874,99.808,5HBk4lU5e05Yz7vGwDfCR9,228400,R,2
Noise,M83,0.161,0.674,-5.184,0.0459,0.000323,0.962,0.0851,0.22,111.296,73khodcc65mVNpUSJNovnR,234413,R,3
Birds and the Bees,the bird and the bee,0.653,0.493,-11.542,0.037,0.141,0.92,0.0817,0.432,111.005,1SoY5RSAqa8Z1Usz9LpAqT,261654,R,3
Best I Ever Had,Gary Allan,0.273,0.59,-4.997,0.0295,0.00254,1.07e-06,0.108,0.214,174.863,120w1eBYfiYrSXtegu6uEb,251480,R,0
The Ballad Of Butter Beans,Man Man,0.502,0.899,-5.763,0.195,0.161,0.000503,0.0456,0.566,159.059,4GoXnVv2COxorf3XNW8Lbt,268880,R,0
Swim Until You Cant See Land,Frightened Rabbit,0.32,0.875,-4.321,0.0368,0.0438,0.0,0.116,0.572,80.852,01TvwZMbABHX5ZafvBZqVx,259279,R,8
The End,Ryan Adams & The Cardinals,0.531,0.5,-6.086,0.0307,0.244,0.0,0.21,0.539,113.717,47TxzyoPp7Lz3nGHQ0SoOh,222787,R,8
Lift Me Up,Moby,0.581,0.889,-6.617,0.0595,0.0011,0.00125,0.155,0.391,120.961,0WkU18xhqNMgckiwxkCud2,199293,R,8
Mr. Crowley,Ozzy Osbourne,0.307,0.748,-6.514,0.0568,0.212,0.000153,0.368,0.347,108.227,2ov8L95QD25TLpZAZPYWXL,302648,R,8
Check On It,Beyoncé feat. Slim Thug,0.705,0.796,-6.845,0.267,0.0708,0.0,0.388,0.864,166.042,2RWxrpsFshOBFwRBRstUlQ,210453,R,4
Tough Little Boys,Gary Allan,0.548,0.402,-8.727,0.0247,0.698,0.000114,0.135,0.214,84.211,6TZEPo10yErUtF5AtdfLY2,237333,R,1
Forest Families,The Knife,0.274,0.293,-16.897,0.0405,0.704,0.354,0.111,0.156,138.594,6kNiVHAyiXH0hCQDRcGw4N,248627,R,5
Safari,Holy Fuck,0.577,0.991,-5.466,0.0789,0.533,0.912,0.194,0.463,108.566,6VwhxbwBFrpivVS3ewNDAN,264853,R,3
Heart Attack and Vine,Screamin\' Jay Hawkins,0.615,0.524,-11.807,0.304,0.41,0.0,0.243,0.774,98.034,1t9Km5iYxB30tdc1eiEIAX,267453,R,4
I Walk The Line,Live,0.554,0.404,-8.134,0.026,0.101,7.81e-06,0.128,0.339,96.139,0zV8aA5SeJ54UPALOqtiot,183813,R,8
El baile y el salón,Café Tacvba,0.723,0.626,-8.759,0.0291,0.219,0.00389,0.0971,0.448,110.98,63QpuNHIZ8APaK37LkV8Xd,308040,R,7
You Could Be Happy,Snow Patrol,0.648,0.321,-9.693,0.0273,0.549,6.33e-06,0.0737,0.253,110.928,1Ow3WmxZDYdPpOFIhJ4pID,182133,R,1
Harmageddon,Apocalyptica,0.205,0.581,-8.092,0.0434,0.0699,0.854,0.0807,0.169,84.302,4mDSLI5UtU0xJoqaqPp1UB,296200,R,3
You Should Have Killed Me When You Had The Chance,A Day To Remember,0.212,0.965,-5.467,0.213,4.44e-05,0.0,0.527,0.347,185.222,5Tm77XWabel3dQXFSrIgWe,220413,R,0
\' Cello Song,Nick Drake,0.507,0.39,-17.218,0.0326,0.657,0.859,0.0613,0.52,118.805,42yexCY4dCftowtAZXuAIj,284987,R,5
Love Is Stronger Than Pride,Sade,0.529,0.335,-12.424,0.0292,0.766,0.000366,0.0824,0.316,87.577,5Qrcxc2YPomtX6UB0bwNaf,258027,R,1
The Limit To Your Love,Feist,0.565,0.363,-7.973,0.031,0.621,0.00169,0.107,0.392,152.076,5ApxZEQ1u6BhPrqeolLi6K,260987,R,1
Stars Of Leo,M Ward,0.518,0.563,-8.457,0.0405,0.064,1.05e-05,0.122,0.497,126.098,1xxcVnUk1Owy2aaFMP9bPz,198000,R,8
With Everything,Hillsong United,0.291,0.914,-5.219,0.0723,0.00141,0.000221,0.711,0.0926,137.044,7dcX4P7koRDPZjnfhBIuIe,653867,R,6
Rising Moon,ATB,0.644,0.969,-6.189,0.0422,0.0577,0.89,0.218,0.533,135.027,6LRjqnuP7MB1Cir4c9kIXQ,193533,R,3
Just Might (Make Me Believe),Sugarland,0.487,0.504,-5.207,0.0261,0.123,0.0,0.109,0.331,139.717,4MSnF5Ajr8P0LqC4Zd66DH,247800,R,8
North Sea Storm (Live),Amon Amarth,0.451,0.981,-5.893,0.086,2.97e-05,0.0099,0.987,0.063,141.959,6QLA5dGGiOe4W1hxL1X4UQ,312320,R,2
Infatuation,Maroon 5,0.718,0.557,-3.81,0.0322,0.142,0.0,0.0609,0.544,144.023,4NuHtHcAeDeAPcxY9NT8z8,265960,R,7
Move Along,The All-American Rejects,0.518,0.916,-3.858,0.0454,0.000148,0.0,0.291,0.646,109.864,2l57cfmCnOkwNX1tky02n1,238880,R,8
Long Cool Woman In A Black Dress,The Hollies,0.757,0.868,-9.326,0.062,0.411,0.00221,0.355,0.815,138.923,5UwbnHhjnbinJH8TefuQfN,199200,R,7
My Girl Is Calling Me a Liar,Chromeo,0.817,0.836,-4.647,0.0349,0.00838,0.00785,0.0716,0.829,120.949,1NIZZnYwUBzVsKfPjUu4eU,140693,R,7
Time Won\'t Let Me Go,The Bravery,0.386,0.864,-4.776,0.0323,0.00133,5.4e-05,0.44,0.418,154.774,2YGpRCRvmTNAIUnmBb96fD,251320,R,0
A Whiter Shade Of Pale,Procol Harum,0.249,0.66,-6.905,0.0342,0.504,0.0026,0.0891,0.435,149.813,78ZqE2tjAxbqEGGlvGnQfT,248947,R,0
Call Me Up,Chromeo,0.744,0.848,-5.42,0.0443,0.000629,0.163,0.0501,0.849,125.949,27gdJRuenUo3DHX1vafhiS,251173,R,7
Fearless,Colbie Caillat,0.591,0.365,-7.31,0.038,0.485,0.0,0.0666,0.165,125.854,3TEn1VNiGYYoTF7yecJaRF,305707,R,1
One Man Show,Jonas Brothers,0.402,0.957,-4.786,0.112,0.000998,0.000138,0.293,0.554,171.937,5IIb87UEQg3gKPjNSAYJBk,188493,R,0
Never Say Never,Queens Of The Stone Age,0.518,0.93,-3.955,0.0797,0.0214,0.0687,0.121,0.692,150.088,5wGgUUUYMdXF86jhyqoVQU,262333,R,0
Hell On The Heart,Eric Church,0.637,0.89,-3.877,0.0312,0.0832,1.9e-06,0.0892,0.928,123.002,6wo9obXjAhA8Yc90sswR56,164733,R,7
Green Light,Beyoncé,0.796,0.572,-7.019,0.0634,0.0682,7.82e-06,0.135,0.726,107.045,3JdDBUiZ1UJv7J7RQqxEFF,210240,R,7
Golden Skans,Klaxons,0.463,0.836,-2.776,0.0381,0.000418,7.38e-06,0.25,0.713,141.955,6BqWhxll86CGGE6WxgdRqG,165120,R,0
Every Little Step,Bobby Brown,0.797,0.656,-11.601,0.0404,0.00721,0.0,0.0377,0.948,99.828,0s6e7ZafqOAUBDoQYGmxrc,237240,R,7
Sencillamente,Bersuit Vergarabat,0.74,0.613,-7.3,0.027,0.326,0.000982,0.122,0.966,135.984,3tPGzLQOB9GnSisO0l4tGW,307307,R,7
Push It,Garbage,0.564,0.909,-6.471,0.0311,0.00034,0.11,0.0746,0.892,123.895,6fVnRxwxVL7RavAGTVrNxW,242533,R,7
Excuse Me Mr.,No Doubt,0.327,0.955,-5.435,0.105,0.00348,0.0,0.435,0.661,145.859,7E7UH5jsEw1vhiM01EQ5gL,185627,R,0
Dream,Iration,0.642,0.628,-8.657,0.0287,0.00136,6.37e-05,0.38,0.891,130.122,6bhN2IRMT0Mq5HyXyUF5fb,308440,R,7
Step Through The Door,Soltero,0.367,0.385,-8.485,0.0283,0.613,0.0205,0.114,0.2,108.49,13E8oHkisrZHcp0MiiNkb6,191720,R,1
Frontline,Pillar,0.683,0.829,-5.564,0.0528,0.000291,0.00116,0.156,0.567,108.327,39sN48Q2DIbyVK8i8kkqgF,190907,R,7
Ask,The Smiths,0.453,0.986,-5.768,0.119,0.387,0.0,0.422,0.455,166.594,2AdRSHeYmDGMrgIfiS2w7K,198147,R,0
Big Idea,Radney Foster,0.631,0.917,-5.488,0.0341,0.0154,0.0,0.0965,0.954,148.09,1hl5THmw5rnPXlUDSSfeRv,205840,R,7
Down To The Market,The Kooks,0.438,0.899,-4.611,0.0616,0.00252,1.13e-06,0.0262,0.858,152.122,1pupZAolKxl6ytRMSr6oNj,146120,R,0
Forever Yours,3rd Force,0.653,0.773,-9.819,0.0301,0.35,0.85,0.0864,0.654,111.061,4FSHOuFLg5sYiDU1Gf2Ihf,239333,R,3
Autumn Music 2,Max Richter,0.174,0.196,-16.3,0.0409,0.976,0.848,0.123,0.164,109.217,0NQ9NrEQx22mr2CJc2h5J6,229360,R,5
So Ruff,Redman,0.841,0.713,-7.432,0.246,0.0425,0.000465,0.38,0.638,99.979,0GJJEySUPyCw9bLZkUxlVZ,224787,R,4
More Than Meets The Eye,Europe,0.517,0.658,-10.696,0.03,0.0861,0.0,0.299,0.598,95.298,4fEIxUaC8HAOYBv7W0rK1i,200093,R,8
Bloody Well Right,Supertramp,0.575,0.446,-13.839,0.105,0.426,0.0175,0.0656,0.532,75.501,2SmlWvdYG6FsagxN3FkHMI,272432,R,1
Get Innocuous! (Soulwax Remix),LCD Soundsystem,0.67,0.997,-5.822,0.0448,0.0755,0.711,0.237,0.704,118.01,37PHS1rBiEomr86HiJyil3,600793,R,6
Dreaming,System of a Down,0.19,0.979,-1.472,0.0545,0.0022,0.0,0.75,0.485,181.256,4uCfGqrF2OHcav71k0bk9D,239867,R,2
Mílanó,Sigur Rós,0.188,0.327,-9.917,0.0359,0.922,0.862,0.0615,0.0389,114.062,11qqmJCaT73iwXL51ugPqc,625120,R,6
Work On You,MSTRKRFT,0.811,0.902,-3.66,0.098,0.0321,7.26e-06,0.121,0.85,127.995,1jr9lzxHQBQSAcJQ2aFqLT,362893,R,7
The Girl And The Robot,Royksopp,0.511,0.899,-5.323,0.0601,0.115,0.000105,0.107,0.0773,121.0,6VCqx14OVaX9uwSvC0PvAG,268893,R,8
Redefine,Incubus,0.513,0.964,-4.638,0.151,0.000371,0.000654,0.0943,0.6,176.637,2ctH2HRZsDD4A78rHNGhqN,199600,R,0
Miserable At Best (Album),Mayday Parade,0.488,0.364,-10.672,0.03,0.57,0.0,0.109,0.375,135.359,0wfWlqv7QezBkLXEgqrgNJ,316987,R,1
Drown Me Slowly,Audioslave,0.361,0.908,-4.223,0.0559,0.0292,2.48e-05,0.168,0.481,102.375,6N6Oob92oCtPfc352iqYti,233600,R,8
Unchained Melody,Righteous Brothers,0.339,0.208,-16.725,0.0308,0.396,0.000519,0.18,0.288,98.54,2qhASBzpbFhPRtrnZ5lLnz,218013,R,1
Guernica,Brand New,0.382,0.907,-6.383,0.295,0.127,5.65e-06,0.0915,0.346,183.35,7lUjs7bf1fjKI8HKhbNp6z,203173,R,0
Livin\' On A Prayer,Bon Jovi,0.532,0.887,-3.757,0.0335,0.0778,0.000214,0.294,0.795,122.511,37ZJ0p5Jm13JPevGcx4SkF,249293,R,7
Infected,Bad Religion,0.49,0.845,-8.746,0.0344,0.00714,1.03e-05,0.0937,0.655,121.575,16E7LWSzLLMPWYGNCwu7Sc,247600,R,8
Little House,Amanda Seyfried,0.389,0.224,-7.133,0.0298,0.779,2.68e-06,0.13,0.337,149.925,1pG0MqQzGMalMl5T8byNIv,204373,R,1
Undantag,Bo Kaspers Orkester,0.73,0.593,-8.158,0.0323,0.711,0.000767,0.114,0.56,128.015,06e8JNPVkQAVfFnEkf2EFt,256960,R,1
Trunk,Kings Of Leon,0.454,0.563,-7.994,0.0305,0.518,0.698,0.167,0.261,127.488,3TC1g3YgznXQLEW4hyZr3Q,237280,R,3
She Is My Sin,Nightwish,0.424,0.917,-5.096,0.0459,1.77e-05,0.00149,0.319,0.596,76.513,7FMS5A5YzxUOMIzTCT6KkW,286227,R,8
You Made Me Like It,1990s,0.619,0.447,-14.16,0.0458,0.0526,6.26e-05,0.101,0.966,150.13,6aHpLXvVcT4mCldYhz3LEX,192493,R,7
High and dry,Jorge Drexler,0.598,0.245,-12.199,0.0332,0.931,0.00647,0.124,0.575,154.137,0hf3E2TAapWRy5PhAjp0l8,224946,R,1
Rock The Boat,Aaliyah,0.637,0.725,-5.073,0.0333,0.0702,0.00438,0.203,0.415,92.99,0qvlhVNm7L5IWabWF5hlEL,274733,R,8
American Ride,Toby Keith,0.519,0.907,-2.681,0.0665,0.0829,1.57e-06,0.325,0.794,174.085,0gjqyr5z7poniYymKRwsCN,165693,R,0
Falling To Pieces,Faith No More,0.545,0.919,-7.679,0.0484,0.00272,0.00511,0.0977,0.387,104.366,20nb0Wl1yqoEERbUSILuG1,313573,R,8
Tron,Foals,0.591,0.897,-4.748,0.0412,0.0148,0.518,0.0638,0.413,150.054,6LeunKCe6CocBvkEZCl6RW,290840,R,3
Baltimore Blues No. 1,Deer Tick,0.745,0.546,-4.5,0.0321,0.44,0.00206,0.205,0.425,114.97,3Dy8QNZ77cre9ThUPRguy0,181467,R,7
Right On Redd,Robbie Fulks,0.551,0.484,-8.464,0.0321,0.351,0.819,0.0615,0.562,81.046,5w3Lf0UsHDuziAkE9DXQla,210400,R,3
Celestica,Crystal Castles,0.551,0.694,-5.81,0.0334,0.0186,0.00936,0.116,0.299,126.0,5QmolkpuE6IfPdr7j2MGn5,228400,R,8
One Year_ Six Months,Yellowcard,0.497,0.59,-7.101,0.026,0.475,0.0,0.144,0.628,89.975,7cADRJ05LekX8qqSkJkNRH,208733,R,7
Night Drive (Acoustic),All American Rejects,0.811,0.391,-6.179,0.0325,0.784,0.0,0.111,0.533,116.015,0dg71UxpfD2kYwmNevYOnC,228680,R,1
Reptilia,The Strokes,0.489,0.649,-5.11,0.0336,0.000603,0.713,0.101,0.77,158.009,57Xjny5yNzAcsxnusKmAfA,219827,R,3
McFearless,Kings Of Leon,0.362,0.931,-2.945,0.0753,0.000461,2.08e-05,0.24,0.339,147.358,0obzF8a4DaF3XrlOB16xlx,189147,R,0
Hard To Explain,The Strokes,0.408,0.666,-6.286,0.0578,0.000455,0.862,0.0889,0.666,82.523,0OM9ri37LIbPc9hffwsyb1,224333,R,3
Your English Is Good,Tokyo Police Club,0.598,0.849,-4.09,0.0467,0.000806,0.000149,0.119,0.676,121.208,0A4W1mAnTMVnq4v6SEyAwa,191667,R,7
The Joker,Fatboy Slim,0.736,0.767,-7.262,0.0545,0.0835,4.04e-06,0.137,0.968,87.769,4EjjWy3ZVrFAgiNgAiwsPs,321747,R,7
Walking,The Dodos,0.295,0.742,-7.909,0.0281,0.429,0.00218,0.254,0.491,158.404,1DHGfUv3FNoFZ6yThAO77f,128917,R,0
D.A.N.C.E [MSTRKRFT Remix],Justice,0.721,0.801,-2.685,0.103,7.61e-05,0.0355,0.0595,0.88,125.951,7jYlV8ZTfXHdUOhaEZnPIM,280107,R,7
Know Your Enemy,Rage Against The Machine,0.575,0.857,-3.961,0.155,0.0125,0.00229,0.145,0.623,117.413,1XTGyfJeMiZXrZ1W3NolcB,294507,R,8
Too Many Puppies,Primus,0.487,0.905,-5.085,0.118,0.0248,9.34e-05,0.175,0.624,159.622,30dxVfMjlhBY6fXo3ThhJM,236827,R,0
Three Or Four,The New Pornographers,0.766,0.942,-3.605,0.0276,0.133,0.000519,0.192,0.904,97.528,0h2QLo8Bs2HrgWyG83USCU,187040,R,7
Drunk Girls,LCD Soundsystem,0.599,0.878,-7.759,0.0387,0.000259,0.0258,0.0829,0.814,144.029,0IUAugkLGELvtFJfzPn2vi,222107,R,7
Away From The Sun,3 Doors Down,0.541,0.677,-6.211,0.0271,0.0244,0.0,0.0854,0.237,131.922,3THdexHRmED4euIY91Zrxc,232067,R,8
Take The Long Way Home,Faithless,0.664,0.84,-9.401,0.032,0.00325,0.842,0.115,0.384,128.261,3Ebxk6LOpmvxR8YngSJwPH,433427,R,3
Black River,Amos Lee,0.403,0.123,-17.54,0.0426,0.902,0.000478,0.106,0.323,143.702,4Bf22AlhZqSIlCV6xqYfp7,211147,R,1
The Hollow,A Perfect Circle,0.295,0.789,-5.559,0.0702,0.000166,0.0898,0.0986,0.515,104.135,4XDBEoD6QFnzDY5oMmNVXN,178960,R,8
Easy girls (acoustic clubbing),Les Négresses Vertes,0.883,0.35,-7.376,0.241,0.289,0.287,0.0861,0.547,104.851,2cla5fY7A6A9peVAiTj6Y2,233627,R,4
Morning Has Broken,Cat Stevens,0.443,0.365,-11.829,0.0315,0.592,0.00484,0.0886,0.398,133.156,5y8d8RHvxb0KiTa9Nq0xWp,199453,R,1
Prodigal,OneRepublic,0.181,0.488,-6.485,0.0328,0.567,1.1e-06,0.125,0.221,179.502,5rvS6QdcKCXXLGq4YpinQe,235147,R,0
This Is Me,Demi Lovato/Joe Jonas,0.421,0.821,-2.783,0.0372,0.00971,0.0,0.1,0.594,91.245,5pomCBdsTZSDCFHH8BAUQe,189173,R,8
Unguided,The New Pornographers,0.478,0.779,-6.041,0.0295,0.287,0.00106,0.0954,0.224,80.972,0973OdStQqLjCdZyRyrYQV,393213,R,8
Give Me More,Keyshia Cole,0.523,0.692,-5.401,0.0448,0.0191,0.0,0.0377,0.625,92.873,1LBX1MjenJYVSJEWBVSchi,233453,R,8
La Llorona,Beirut,0.283,0.411,-6.2,0.0435,0.681,0.00674,0.0939,0.194,166.602,24LDPVMwvoFOLzqsi6ll3I,214413,R,1
Just Like You Imagined,Nine Inch Nails,0.473,0.748,-8.052,0.0381,0.00411,0.889,0.0871,0.352,150.048,184ImITRjcX2h1awZ4WVT1,229867,R,3
My Life For Hire,A Day To Remember,0.416,0.907,-4.939,0.0854,0.000294,0.0,0.177,0.651,144.646,4PAa8Odn5TtCVPYdvWzlyI,213800,R,0
Medicating,Boys Night Out,0.461,0.934,-5.187,0.0653,0.00353,0.0,0.71,0.777,167.126,7FTORbr7wFdglftJdbz1dw,240187,R,2
Lights Of Ayodhya,Yulara,0.664,0.79,-7.623,0.0366,0.101,0.121,0.232,0.325,102.989,2L1CmUspwjwUgo1CMq9zHL,267640,R,8
Flower,Soundgarden,0.429,0.725,-9.387,0.0525,0.000354,0.105,0.158,0.355,100.184,1Ycc2RIwxY0W6AjDivItvE,207027,R,8
Psyche,Massive Attack,0.695,0.384,-15.257,0.0345,0.876,0.000467,0.102,0.375,115.009,5HZrnSHCqaazNzr5w1enKG,204800,R,1
So Payaso (Version 2004),Extremoduro,0.448,0.801,-5.957,0.0499,0.0285,3.96e-05,0.182,0.384,150.694,0ClVmCmWNvZo2829cHr5dh,275520,R,0
Lights & Music,Cut Copy,0.612,0.939,-4.206,0.0412,0.0763,0.119,0.749,0.543,125.981,2dngx6srtqsxvyh7oGV8FM,277360,R,2
Burden In My Hand,Soundgarden,0.319,0.803,-8.928,0.0394,0.00534,0.0126,0.177,0.589,183.031,1iArQTuOzxvrtniGmkyy92,290107,R,0
Nlogax,Boards of Canada,0.784,0.491,-9.327,0.0829,0.118,0.907,0.0772,0.918,105.036,4twZPBdFpG2AXWrlRqurnQ,413973,R,3
Crazy Eyes,Old Crow Medicine Show,0.628,0.447,-9.824,0.0266,0.485,5.65e-05,0.12,0.488,109.506,5b7vx5lmwVcoeeYXYYtYz9,257613,R,1
Solitary Man,Johnny Cash,0.435,0.561,-6.947,0.0305,0.345,2.19e-06,0.249,0.699,85.594,6bkeigTegPjXdQIZaZ6o6W,143853,R,7
Armistice,Phoenix,0.576,0.766,-7.056,0.0291,0.0504,0.000124,0.085,0.635,149.989,6hN21g0h9jft8bZZipsVu2,185107,R,0
Lafayette Blues,The White Stripes,0.365,0.906,-5.259,0.156,0.264,0.0561,0.42,0.374,126.256,0r0CvMR0c7qruSek8agaf0,135800,R,0
Where I Stand,Days Of The New,0.558,0.669,-9.958,0.0273,0.00727,9.34e-06,0.141,0.338,113.387,5rrb7jvZ3AIknpVLOfRxpx,339240,R,8
July Jones,The New Pornographers,0.509,0.913,-3.663,0.0443,0.0734,0.00126,0.25,0.611,201.044,50S7EXNeyElma3PLLiWpft,258600,R,0
I Want I Want,Digitalism,0.65,0.932,-4.12,0.0356,0.000394,0.000122,0.298,0.664,134.983,28fOP2ZSv8WDR4i0KSmN33,208747,R,7
Mr Vain,Culture Beat,0.703,0.997,-7.666,0.0399,0.0726,0.0235,0.123,0.391,132.872,4ih3dyFZoeTdaeJW9mPbOI,257467,R,8
Call Me If You Need Me,Magic Sam,0.541,0.666,-10.213,0.0426,0.555,0.101,0.133,0.621,105.077,5sqkfvyiBhcmt6qoCf2fIW,184427,R,1
Lovebug,Jonas Brothers,0.597,0.5,-6.216,0.0579,0.127,0.0,0.214,0.522,79.071,3F8xLc6T4VvKH7I6wqVAN2,220693,R,8
No Puedo Evitar (Pensar En Ti),Duncan Dhu,0.731,0.513,-6.38,0.0363,0.479,0.0,0.358,0.407,115.811,4yWXdkxN900B0fK23h1D0o,203547,R,7
Costumbres Argentinas,Los Abuelos De La Nada,0.445,0.842,-7.363,0.0725,0.261,1.06e-05,0.806,0.543,141.321,1Zouszscc3xyYm9spI3lFG,197933,R,2
Lo Que Yo No Tengo,Son By 4,0.818,0.821,-6.901,0.119,0.165,1.38e-05,0.348,0.816,106.068,0uh8POJrlxDQA2aNCuGLlG,294613,R,7
Have Faith In Me,A Day To Remember,0.507,0.933,-4.7,0.0869,7e-05,0.0,0.105,0.715,149.996,4IX6QvjOI62tyHigVsTUlv,188813,R,0
Strange Desire,The Black Keys,0.357,0.599,-6.34,0.0402,0.699,0.0519,0.112,0.33,128.731,284eB4ONFTw8ARgJe29Pp3,260973,R,1
Why Georgia,John Mayer,0.608,0.639,-7.205,0.0246,0.0208,5.94e-05,0.0893,0.369,96.915,1c7UYTut2SBOPq64o2t0uN,268973,R,8
Headlong,Queen,0.595,0.747,-13.111,0.0509,0.247,3.68e-06,0.141,0.445,144.035,21YZVlxpUNaZ136Shhm7FE,277640,R,8
Hold On,Hot Chip,0.762,0.833,-6.269,0.0414,0.000161,0.614,0.179,0.625,134.461,3jpp3qA88QoUGCt84175Gl,384481,R,3
Your Guardian Angel,The Red Jumpsuit Apparatus,0.29,0.48,-6.583,0.0296,0.116,3.03e-06,0.626,0.382,112.62,2Guz1b911CbpG8L92cnglI,229235,R,2
Say It Ain\'t So,Weezer,0.634,0.551,-7.136,0.0352,0.00737,1.82e-05,0.07,0.453,151.779,6VoIBz0VhCyz7OdEoRYDiA,258827,R,8
Older Gods,Wu-Tang Clan,0.855,0.719,-9.123,0.304,0.0177,0.0,0.113,0.655,93.046,3ZwmNUJgd83cZLNbQw6BSB,185960,R,4
War Ensemble,Slayer,0.332,0.988,-4.111,0.146,7.65e-05,0.0126,0.055,0.097,98.878,1E0yt5XSdjE9NOu897RilW,291733,R,8
Cuidándote,Bebe,0.441,0.149,-14.368,0.0702,0.893,3.42e-06,0.0991,0.093,167.015,4TwS7OItKWSFVUtgZh10Xr,230587,R,1
Six Feet Up,Octopus Project,0.56,0.839,-8.584,0.0807,0.00527,0.248,0.092,0.346,88.144,4f7gNEhsvEjUTndwO4C4f6,233413,R,8
Sludge Factory,Alice In Chains,0.508,0.507,-8.046,0.0257,0.0399,8.41e-06,0.943,0.227,166.469,1HUcU3GAKCR960czpLbqoD,276773,R,2
Girlfriend (Radio Edit),Avril Lavigne,0.551,0.964,-1.883,0.114,0.00104,0.000253,0.245,0.668,163.965,5xv4ggemGPNpowZAMwEYHH,216560,R,0
Roam [Edit],The B-52\'s,0.61,0.889,-9.375,0.0692,0.0586,1.33e-05,0.112,0.724,134.666,0jfONt56vckywtWwm8wjki,246853,R,7
Out At The Pictures,Hot Chip,0.395,0.726,-6.806,0.0471,0.00028,0.753,0.101,0.116,152.971,1GnbkZfYWAQGnHnY1GUpz8,267285,R,3
Gunpowder & Lead,Miranda Lambert,0.333,0.907,-3.191,0.0959,0.153,0.0,0.395,0.353,187.826,3z1PqYwMtct2Dm4R9lhWnT,191693,R,0
Rabbit Heart (Raise It Up),Florence + The Machine,0.607,0.853,-3.524,0.0443,0.0553,3e-05,0.301,0.389,116.977,5RoLLyMmaEG4WiVMlp7r59,232147,R,8
