song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Them Eyes,The Black Keys,0.483,0.687,7,-6.919,1,0.125,0.0073,0.00101,0.0784,0.778,131.825,audio_features,7LwWyEoEJllOqvlY85vyeh,spotify:track:7LwWyEoEJllOqvlY85vyeh,https://api.spotify.com/v1/tracks/7LwWyEoEJllOqvlY85vyeh,https://api.spotify.com/v1/audio-analysis/7LwWyEoEJllOqvlY85vyeh,143053,4
Make Up Your Mind,Theory Of A Deadman,0.414,0.742,9,-5.762,1,0.0369,0.00103,0,0.661,0.223,152.952,audio_features,1NkTf6Nt4md0ZJR2jt9UZB,spotify:track:1NkTf6Nt4md0ZJR2jt9UZB,https://api.spotify.com/v1/tracks/1NkTf6Nt4md0ZJR2jt9UZB,https://api.spotify.com/v1/audio-analysis/1NkTf6Nt4md0ZJR2jt9UZB,242160,4
Hello,Lionel Richie,0.487,0.246,9,-14.104,0,0.0376,0.414,0,0.0983,0.0562,61.084,audio_features,0mHyWYXmmCB9iQyK18m3FQ,spotify:track:0mHyWYXmmCB9iQyK18m3FQ,https://api.spotify.com/v1/tracks/0mHyWYXmmCB9iQyK18m3FQ,https://api.spotify.com/v1/audio-analysis/0mHyWYXmmCB9iQyK18m3FQ,251107,4
Jimmy Kane,Muse,0.535,0.76,4,-6.546,1,0.0379,0.0113,0.0112,0.166,0.669,106.114,audio_features,44oVrpmP9afF8i52WCiG2x,spotify:track:44oVrpmP9afF8i52WCiG2x,https://api.spotify.com/v1/tracks/44oVrpmP9afF8i52WCiG2x,https://api.spotify.com/v1/audio-analysis/44oVrpmP9afF8i52WCiG2x,207517,4
The Wicker Man,Iron Maiden,0.424,0.98,4,-4.33,0,0.154,0.000855,5.72e-06,0.129,0.296,101.502,audio_features,7e33IaVp4FKTTwOEKqsqEI,spotify:track:7e33IaVp4FKTTwOEKqsqEI,https://api.spotify.com/v1/tracks/7e33IaVp4FKTTwOEKqsqEI,https://api.spotify.com/v1/audio-analysis/7e33IaVp4FKTTwOEKqsqEI,275253,4
Willing To Wait,Rihanna,0.537,0.443,10,-8.407,0,0.107,0.0107,6.99e-05,0.166,0.281,84.597,audio_features,5b41vHKBfpyEbmkJu6wtlH,spotify:track:5b41vHKBfpyEbmkJu6wtlH,https://api.spotify.com/v1/tracks/5b41vHKBfpyEbmkJu6wtlH,https://api.spotify.com/v1/audio-analysis/5b41vHKBfpyEbmkJu6wtlH,277973,4
Do What You Want,Ok Go,0.506,0.881,4,-1.675,1,0.0625,0.000735,0.0127,0.189,0.755,135.04,audio_features,0vDbPNJToCssVuKVaRXz6o,spotify:track:0vDbPNJToCssVuKVaRXz6o,https://api.spotify.com/v1/tracks/0vDbPNJToCssVuKVaRXz6o,https://api.spotify.com/v1/audio-analysis/0vDbPNJToCssVuKVaRXz6o,186013,4
Dam That River,Alice In Chains,0.427,0.913,6,-5.545,0,0.0804,0.00636,0,0.471,0.471,124.419,audio_features,22Ntyke0ZDZy2Uuf8BEDkU,spotify:track:22Ntyke0ZDZy2Uuf8BEDkU,https://api.spotify.com/v1/tracks/22Ntyke0ZDZy2Uuf8BEDkU,https://api.spotify.com/v1/audio-analysis/22Ntyke0ZDZy2Uuf8BEDkU,189360,4
Like A Stone,Audioslave,0.614,0.568,7,-5.477,0,0.0276,0.00797,0,0.0997,0.516,107.849,audio_features,3YuaBvuZqcwN3CEAyyoaei,spotify:track:3YuaBvuZqcwN3CEAyyoaei,https://api.spotify.com/v1/tracks/3YuaBvuZqcwN3CEAyyoaei,https://api.spotify.com/v1/audio-analysis/3YuaBvuZqcwN3CEAyyoaei,293960,4
Undisclosed Desires [Thin White Duke Remix],Muse,0.612,0.887,3,-4.452,1,0.046,0.00276,0.313,0.295,0.591,131.465,audio_features,3BlVx7C2zdlxta4bZjZxbn,spotify:track:3BlVx7C2zdlxta4bZjZxbn,https://api.spotify.com/v1/tracks/3BlVx7C2zdlxta4bZjZxbn,https://api.spotify.com/v1/audio-analysis/3BlVx7C2zdlxta4bZjZxbn,464400,4
